"job","firm","functional_area","type"
"Healthcare consultant","Develop Consulting","Lean & SixSigma","Job"
"Senior Analyst","CIL Management Consultants","Strategy","Job"
"Internships","Simon-Kucher","Pricing","Internship"
"Business Development Manager – R&D Incentives","Ayming","Sales","Job"
"Senior 3D/Motion Designer","Yonder Consulting","Marketing","Job"
"Associate Consultant","Bain & Company","Strategy","Job"
"Consultants and Senior Consultants","Procura Consulting","Project Management","Job"
"Marketing Executive","Genioo","Marketing","Job"
"Analyst","Enfuse Group","Digital","Job"
"Analyst, satellite and space markets","Analysys Mason","Strategy","Job"
"Business Development Manager UK","COMATCH","Sales","Job"
"HR Manager","BearingPoint","Human Resources","Job"
"Internship / Work Placement","Skarbek Associates","Marketing","Internship"
"Consultant Treasury Technology","Zanders","Corporate Finance","Job"
"Consultant Roles (at all levels) – IT Advisory","Mason Advisory","Digital","Job"
"Technical Web Analyst","Digital Power","Digital","Job"
"Senior Consultant Asset Management","Sionic","Corporate Finance","Job"
"Independent Consultant","dss+","Sustainability","Job"
"Analyst","Change Management Group","Process Management","Job"
"Senior Python Specialist","Valcon","Software","Job"
"","Alvarez & Marsal","Management","Job"
"Management Consultants","Collinson Grant","Process Management","Job"
"Senior Consultant | Energy & Natural Resources | Strategic Communications","FTI Consulting","Unknown","Job"
"Junior Associate","McKinsey & Company","Strategy","Job"
"Director - Supply Chain Strategy & Transformation","Capgemini Invent","Strategy","Job"
"Strategy Director","The Upside","Strategy","Job"
"Independent Consultants","Fairgrove Partners","Strategy","Job"
"PMO Lead","ThreeTwoFour","Project Management","Job"
"Consultant - Procurement & Value Creation","H&Z Management Consulting","Procurement","Job"
"MM-4797; Data Analyst, S&P","B2E Consulting","Data Science","Job"
"Senior Infrastructure & Cloud Services Advisor","West Monroe","Cloud","Job"
"Business Analyst","Humatica","Data Science","Job"
"Sourcing & Commercial Role","Coeus Consulting","Project Management","Job"
"Principal Consultants","Q5","Strategy","Job"
"Manager - Technology","First Consulting","Mobile & Apps","Job"
"M&A Managing Partner UK","Marktlink","Unknown","Job"
"Intermediate Quantity Surveyor","Panoptic Consultancy Group","Project Management","Job"
"Strategy& - Strategy Senior Associate","PwC","Strategy","Job"
"AWS Principal Architect","PA Consulting","Unknown","Job"
"Director, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Senior Strategist","The Upside","Strategy","Job"
"Consultant Business & Technology","First Consulting","Digital","Job"
"Consultant","Bain & Company","Strategy","Job"
"Associate Director","Yonder Consulting","Project Management","Job"
"Consultant: Operations Performance","Ayming","Procurement","Job"
"Healthcare consultant","Develop Consulting","Lean & SixSigma","Job"
"Senior Analyst","CIL Management Consultants","Strategy","Job"
"Internships","Simon-Kucher","Pricing","Internship"
"Business Development Manager – R&D Incentives","Ayming","Sales","Job"
"Senior 3D/Motion Designer","Yonder Consulting","Marketing","Job"
"Associate Consultant","Bain & Company","Strategy","Job"
"Consultants and Senior Consultants","Procura Consulting","Project Management","Job"
"Marketing Executive","Genioo","Marketing","Job"
"Analyst","Enfuse Group","Digital","Job"
"Analyst, satellite and space markets","Analysys Mason","Strategy","Job"
"Business Development Manager UK","COMATCH","Sales","Job"
"HR Manager","BearingPoint","Human Resources","Job"
"Internship / Work Placement","Skarbek Associates","Marketing","Internship"
"Consultant Treasury Technology","Zanders","Corporate Finance","Job"
"Consultant Roles (at all levels) – IT Advisory","Mason Advisory","Digital","Job"
"Technical Web Analyst","Digital Power","Digital","Job"
"Senior Consultant Asset Management","Sionic","Corporate Finance","Job"
"Independent Consultant","dss+","Sustainability","Job"
"Analyst","Change Management Group","Process Management","Job"
"Senior Python Specialist","Valcon","Software","Job"
"","Alvarez & Marsal","Management","Job"
"Management Consultants","Collinson Grant","Process Management","Job"
"Senior Consultant | Energy & Natural Resources | Strategic Communications","FTI Consulting","Unknown","Job"
"Junior Associate","McKinsey & Company","Strategy","Job"
"Director - Supply Chain Strategy & Transformation","Capgemini Invent","Strategy","Job"
"Strategy Director","The Upside","Strategy","Job"
"Independent Consultants","Fairgrove Partners","Strategy","Job"
"PMO Lead","ThreeTwoFour","Project Management","Job"
"Consultant - Procurement & Value Creation","H&Z Management Consulting","Procurement","Job"
"MM-4797; Data Analyst, S&P","B2E Consulting","Data Science","Job"
"Senior Infrastructure & Cloud Services Advisor","West Monroe","Cloud","Job"
"Business Analyst","Humatica","Data Science","Job"
"Sourcing & Commercial Role","Coeus Consulting","Project Management","Job"
"Principal Consultants","Q5","Strategy","Job"
"Manager - Technology","First Consulting","Mobile & Apps","Job"
"M&A Managing Partner UK","Marktlink","Unknown","Job"
"Intermediate Quantity Surveyor","Panoptic Consultancy Group","Project Management","Job"
"Strategy& - Strategy Senior Associate","PwC","Strategy","Job"
"AWS Principal Architect","PA Consulting","Unknown","Job"
"Director, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Senior Strategist","The Upside","Strategy","Job"
"Consultant Business & Technology","First Consulting","Digital","Job"
"Consultant","Bain & Company","Strategy","Job"
"Associate Director","Yonder Consulting","Project Management","Job"
"Consultant: Operations Performance","Ayming","Procurement","Job"
"Consultant Business & Technology","Valcon","Process Management","Job"
"Global Relationship Manager","Sionic","Sales","Job"
"MM-4810; Senior Professional Services / Consultancy Procurement Manager","B2E Consulting","Procurement","Job"
"GCP Cloud Engineer","PA Consulting","Cloud","Job"
"Technology and Architecture Roles","Coeus Consulting","Digital","Job"
"Associate Consultant","Analysys Mason","Digital","Job"
"Supply Chain Operations Analyst","BearingPoint","Supply Chain","Job"
"Manufacturing and construction consultant","Develop Consulting","Lean & SixSigma","Job"
